0 Branching ratio for NO2      Total        1 branches
Lambda        Total        NO/O
1880.10   6.99E-18  6.99E-18
1881.10   7.00E-18  7.00E-18
1882.10   7.00E-18  7.00E-18
1883.10   7.01E-18  7.01E-18
1884.10   7.01E-18  7.01E-18
1885.10   7.01E-18  7.01E-18
1886.10   7.02E-18  7.02E-18
1887.10   7.02E-18  7.02E-18
1888.10   7.02E-18  7.02E-18
1889.10   7.03E-18  7.03E-18
1890.10   7.03E-18  7.03E-18
1891.10   7.03E-18  7.03E-18
1892.10   7.04E-18  7.04E-18
1893.10   7.04E-18  7.04E-18
1894.10   7.05E-18  7.05E-18
1895.10   7.05E-18  7.05E-18
1896.10   7.05E-18  7.05E-18
1897.10   7.06E-18  7.06E-18
1898.10   7.06E-18  7.06E-18
1899.10   7.06E-18  7.06E-18
1900.10   7.07E-18  7.07E-18
1901.10   7.07E-18  7.07E-18
1902.10   7.08E-18  7.08E-18
1903.10   7.08E-18  7.08E-18
1904.10   7.08E-18  7.08E-18
1905.10   7.09E-18  7.09E-18
1906.10   7.09E-18  7.09E-18
1907.10   7.09E-18  7.09E-18
1908.10   7.10E-18  7.10E-18
1909.10   7.10E-18  7.10E-18
1910.10   7.11E-18  7.11E-18
1911.10   7.11E-18  7.11E-18
1912.10   7.11E-18  7.11E-18
1913.10   7.12E-18  7.12E-18
1914.11   7.12E-18  7.12E-18
1915.11   7.12E-18  7.12E-18
1916.11   7.13E-18  7.13E-18
1917.11   7.13E-18  7.13E-18
1918.11   7.14E-18  7.14E-18
1919.11   7.14E-18  7.14E-18
1920.11   7.14E-18  7.14E-18
1921.11   7.15E-18  7.15E-18
1922.11   7.15E-18  7.15E-18
1923.11   7.15E-18  7.15E-18
1924.11   7.16E-18  7.16E-18
1925.11   7.16E-18  7.16E-18
